target_date,gross_revenue,total_costs,net_revenue,iex_fee,scheduling,degradation,dsm
2025-04-25,1973218.4287171832,358838.64110133925,1614379.787615844,102089.4016,2918.8046144,157166.85984999998,96663.57503693929
2025-04-26,1948680.188626702,359254.39629580063,1589425.7923309014,102089.4016,2918.8046144,157166.85984999998,97079.33023140069
2025-04-27,3569648.616064471,349453.87949255574,3220194.7365719154,102089.4016,2918.8046144,157166.85984999998,87278.81342815576
2025-04-28,2525298.3547271816,214321.27639961912,2310977.0783275627,64088.7678,2576.7989102,98664.8,48990.90968941912
2025-04-29,2280730.64835687,283919.7190986464,1996810.9292582234,83089.0846,2747.8017614,127915.82960000001,70167.00313724639
2025-04-30,2496585.4887167183,212541.8991981576,2284043.5895185606,64088.7678,2576.7989102,98664.8,47211.53248795761
2025-05-01,2145515.326487084,202759.97585864965,1942755.3506284342,64088.7678,2576.7989102,98664.8,37429.60914844964
2025-05-02,3027794.3527631,204952.17526413983,2822842.1774989604,64088.7678,2576.7989102,98664.8,39621.80855393982
2025-05-03,2017725.8496927817,183682.7826239367,1834043.067068845,57000.9507,2513.0085563000002,87753.089775,36415.733592636694
2025-05-04,1339283.1253525217,197299.2438610794,1141983.8814914422,64088.7678,2576.7989102,98664.8,31968.877150879387
2025-05-05,2021975.680371622,68212.89330860911,1953762.787063013,21110.719899999996,2189.9964791,32500.0,12412.176929509122
2025-05-06,2402112.7362924037,104858.04709045718,2297254.6892019464,32044.384000000002,2288.399456,49332.4,21192.863634457182
2025-05-07,1162802.0045945826,202694.67140870556,960107.3331858771,64088.7678,2576.7989102,98664.8,37364.304698505555
2025-05-08,978922.7430175872,203099.9133258587,775822.8296917286,64088.7678,2576.7989102,98664.8,37769.54661565872
2025-05-09,1032561.3211929424,147993.69919085858,884567.6220020838,42221.4398,2379.9929582,65000.0,38392.26643265857
2025-05-10,968571.8696543229,246879.72190769922,721692.1477466236,72155.4206,2649.3987854,111083.4296,60991.4729222992
2025-05-11,1614172.3969094823,211549.46649359426,1402622.930415888,64088.7678,2576.7989102,98664.8,46219.09978339425
2025-05-12,1717294.470967784,179894.65708225503,1537399.813885529,53155.103800000004,2478.3959342,81832.4,42428.75734805502
2025-05-13,2002116.2505795504,251295.152843976,1750821.0977355745,72155.4206,2649.3987854,111083.4296,65406.903858575955
2025-05-14,1839990.2683374735,219086.27741759567,1620903.9909198778,64088.7678,2576.7989102,98664.8,53755.91070739567
