target_date,expected_revenue,realized_revenue,net_revenue,soc_initial,soc_terminal
2025-04-23,3504022.0307207317,1456333.2709860678,1236801.633836634,100.0,100.0
2025-04-24,3654591.4420292764,2085739.9613141674,1799381.7647891967,100.0,100.0
2025-04-25,3388307.536712075,1951307.9165331495,1592469.2754318104,100.0,100.0
2025-04-26,4098640.959014519,1904153.3392260708,1544898.9429302702,100.0,100.0
2025-04-27,4896700.533777041,3364650.238086538,3015196.358593982,100.0,100.0
2025-04-28,4928011.212392202,2545529.2348264437,2331207.958426825,100.0,100.0
2025-04-29,4749486.6805368215,2276766.0165197626,1992846.2974211161,100.0,100.0
2025-04-30,5346854.778675261,2481226.9120248277,2268685.01282667,100.0,100.0
2025-05-01,5467289.744985336,2121388.670104472,1918628.6942458223,100.0,100.0
2025-05-02,4064303.075900474,2998778.7725951965,2793826.597331057,100.0,100.0
2025-05-03,3064429.861153755,2089279.7005349796,1905596.917911043,100.0,100.0
2025-05-04,3342961.8833421795,1339283.1253525217,1141983.8814914422,100.0,100.0
2025-05-05,3100961.6765929763,2021227.707135268,1953014.813826659,100.0,100.0
2025-05-06,2764075.069021582,2402112.7362924037,2297254.6892019464,100.0,100.0
2025-05-07,2594983.491099348,1181084.003410934,978389.3320022285,100.0,100.0
2025-05-08,2590431.6612634067,978049.7161945652,774949.8028687064,100.0,100.0
2025-05-09,2517239.604898371,1037081.4719800537,889087.7727891952,100.0,100.0
2025-05-10,2554824.8629631563,1109404.9673384717,862525.2454307724,100.0,100.0
2025-05-11,2517066.227898949,1606366.9544679213,1394817.487974327,100.0,100.0
2025-05-12,2847112.313078762,1667542.4964408493,1487647.8393585943,100.0,100.0
2025-05-13,2982066.2505642567,2010107.0173711146,1758811.8645271386,100.0,100.0
2025-05-14,3097050.247508085,1844066.983983018,1624980.7065654222,100.0,100.0
2025-05-15,3208209.9448968656,1520332.1707540208,1301019.9677387783,100.0,100.0
2025-05-16,4475860.64079122,2746004.156550056,2458683.9613509583,100.0,100.0
2025-05-17,4783833.835368651,3037377.7716107857,2862325.859123688,100.0,100.0
2025-05-18,3530380.8140999773,2344772.200077856,2139742.318343467,100.0,100.0
2025-05-19,3255193.2685107635,1333840.87781757,1123242.7620766186,100.0,100.0
2025-05-20,3365819.853592438,1434676.825052396,1219648.5538216115,100.0,100.0
2025-05-21,4215741.962234165,2901982.30208154,2657882.9867546577,100.0,100.0
2025-05-22,4046793.0571130156,3431761.6200004388,3191580.2738377233,100.0,100.0
2025-05-23,2965362.832589366,1027792.2532272732,822271.1260224871,100.0,100.0
2025-05-24,3210039.6413077367,1397571.2629652168,1197135.433298754,100.0,100.0
2025-05-25,2801447.2728401334,1894494.5703732844,1698041.9277513246,100.0,100.0
2025-05-26,2209869.1413779086,1555835.041681927,1315767.0802524907,100.0,100.0
2025-05-27,2318116.017888743,1288892.1785625182,1116075.2417652418,100.0,100.0
2025-05-28,2662409.9006741373,1321408.9958852006,1087109.0941086828,100.0,100.0
2025-05-29,3408521.8362203795,1262614.0581210246,1094372.2939449723,100.0,100.0
2025-05-30,3253011.6572301188,1535097.0538243144,1340298.2928672042,100.0,100.0
2025-05-31,1740323.916521195,1200071.192719642,1006055.2480613198,100.0,100.0
2025-06-01,1511408.6657716802,605418.6279125928,412822.4177444425,100.0,100.0
2025-06-02,1885700.9547377299,924673.4190170848,724873.0582646206,100.0,100.0
2025-06-03,1828813.783845776,820561.1034614317,551978.3574727543,100.0,100.0
2025-06-04,2588915.9040716314,1428044.2162270234,1224614.2697537693,100.0,100.0
2025-06-05,3848450.1254148334,1465262.8859530778,1256118.579875702,100.0,100.0
2025-06-06,3806548.33260866,2548622.835609015,2332534.257271247,100.0,100.0
2025-06-07,3330540.147588776,2095385.69227249,1818644.1175689911,100.0,100.0
2025-06-08,3194548.455217123,1864188.6555875454,1650489.4873499677,100.0,100.0
2025-06-09,2983416.224570354,1696487.153771751,1502840.5357892518,100.0,100.0
2025-06-10,3069123.6682787566,1542192.953050021,1326818.8506487347,100.0,100.0
2025-06-11,3320845.8596479427,2172184.529109425,1954328.1555986977,100.0,100.0
2025-06-12,4321955.945108703,1869396.7197446523,1651482.21187549,100.0,100.0
2025-06-13,4669537.996863179,2328364.965132025,2109895.043337839,100.0,100.0
2025-06-14,4114024.8599320916,3022005.0045530144,2679324.578842805,100.0,100.0
2025-06-15,4145203.962234988,1981884.4349693619,1769899.473129798,100.0,100.0
2025-06-16,3918980.4338610987,2298813.0914681503,2114895.654572806,100.0,100.0
2025-06-17,3715718.8503658613,2616800.0990894586,2413587.896986747,100.0,100.0
2025-06-18,3600801.3430289947,983735.0625098894,787389.8298774019,100.0,100.0
2025-06-19,2469125.533105519,456120.4738294418,260101.30419048425,100.0,100.0
2025-06-20,1440937.8927769552,762577.6488515656,587274.487436755,100.0,100.0
2025-06-21,1289731.074502626,790687.0076487393,684305.3560725482,100.0,100.0
2025-06-22,2192658.7452657945,674402.5324375925,479813.06653392315,100.0,100.0
2025-06-23,2283096.997199856,1297588.6448472133,1191941.4380837216,100.0,100.0
2025-06-24,1476394.0677386548,1021344.596395835,784151.375343825,100.0,100.0
