target_date,expected_revenue,realized_revenue,net_revenue,soc_initial,soc_terminal
2025-03-15,1332895.9824036595,956611.5986081174,751859.7675518332,20.0,20.0
2025-03-16,1028516.441877503,745767.6374331081,567047.5080561882,20.0,20.0
2025-03-17,1674779.999315602,814034.1514319305,600720.3529674457,20.0,20.0
2025-03-18,2210015.5840601525,836203.1779201977,620891.6298752145,20.0,20.0
2025-03-19,2831976.8568876334,1515747.8487086077,1233392.862109026,20.0,20.0
2025-03-20,3332129.821072056,1568471.6150405332,1285100.1455275328,20.0,20.0
2025-03-21,3652766.164531503,1789563.7135558128,1648220.617261259,20.0,20.0
2025-03-22,3017118.602318051,1945884.3654500623,1736496.7574057481,20.0,20.0
2025-03-23,1720393.2957755872,195207.49995341856,-4609.86174989125,20.0,20.0
2025-03-24,1548875.9403023997,754363.7697843597,545634.7061678278,20.0,20.0
2025-03-25,1492666.5507622594,964340.263652639,684797.3537519907,20.0,20.0
2025-03-26,1912909.0176576814,1303458.5615765133,1088385.2580386696,20.0,20.0
2025-03-27,2512667.5578527427,1930742.2344031464,1572655.9897754188,20.0,20.0
2025-03-28,2913950.8875804814,1473319.9644093113,1255879.6320457489,20.0,20.0
2025-03-29,3364462.183569876,2938598.2191202184,2721936.3230216955,20.0,20.0
2025-03-30,3567105.139296977,1018124.5354888366,816132.3280208984,20.0,20.0
2025-03-31,2978342.6544170263,1679577.285215113,1467974.4904303306,20.0,20.0
2025-04-01,2083134.3805767084,1821846.856711163,1472432.4897511676,20.0,20.0
2025-04-02,2753303.9953081915,1132143.4099683526,775363.0826309044,20.0,20.0
2025-04-03,2729779.5912767295,1906499.1719528653,1578961.3076818998,20.0,20.0
2025-04-05,2415035.2584833847,874815.2757533517,597050.0982318426,20.0,20.0
2025-04-06,2623140.819448566,879497.463028782,681122.9897580509,20.0,20.0
2025-04-07,3207041.439633984,2353077.2867068495,2136142.617970829,20.0,20.0
2025-04-08,3315036.498978093,1670653.947976245,1381055.6940236152,20.0,20.0
2025-04-09,4859345.075838384,2168929.0600135364,1805082.7405923842,20.0,20.0
2025-04-10,7246422.556166787,3913496.7172903228,3707103.829244858,20.0,20.0
2025-04-11,7058395.082808813,4490905.34669011,4284278.899996256,20.0,20.0
2025-04-12,4221759.776576633,1032804.2944565869,830473.327563616,20.0,20.0
2025-04-13,2568248.411491476,781645.1567762347,584832.5381297877,20.0,20.0
2025-04-14,2586670.0824083905,2279480.3685214645,2071098.399077771,20.0,20.0
2025-04-15,2397791.7866482497,1448763.909419614,1232986.4851067686,20.0,20.0
2025-04-16,2340017.779465129,1089549.581045926,873385.5411286093,20.0,20.0
2025-04-17,3845801.851350599,2334579.120690328,2117585.9967473825,20.0,20.0
2025-04-18,4906762.0521106785,3127236.147020796,2918925.6379211354,20.0,20.0
2025-04-19,4195007.805947433,2629892.957424281,2415856.09400065,20.0,20.0
2025-04-20,3228365.913900545,2320312.7917285766,2111133.0696348865,20.0,20.0
2025-04-21,4795710.368422941,2234458.6771319527,1944582.79722643,20.0,20.0
2025-04-22,4150829.705680243,1996254.0651696543,1776334.520056536,20.0,20.0
2025-04-23,2847617.347765468,1456333.2709860678,1236801.633836634,20.0,20.0
2025-04-24,3008913.662412577,2076925.9966719355,1790567.8001469648,20.0,20.0
2025-04-25,2744432.0767266136,1951307.9165331493,1592469.27543181,20.0,20.0
2025-04-26,3478429.6024709623,1876773.5823003007,1517519.1860045,20.0,20.0
2025-04-27,4338343.401973114,2958598.7037398806,2612446.3795907917,20.0,20.0
2025-04-28,4495420.74361065,2908087.327400663,2690899.4237956367,20.0,20.0
2025-04-29,4336054.448191447,2390266.6144254813,2104786.6839105603,20.0,20.0
2025-04-30,4949919.612459134,2599270.345560489,2385170.329469325,20.0,20.0
2025-05-01,5169745.082914343,2035388.4394492954,1834459.344399179,20.0,20.0
2025-05-02,3838700.495023572,3120369.024097789,2909830.471453487,20.0,20.0
2025-05-03,2825953.954485823,2098678.742725114,1912537.4617410721,20.0,20.0
2025-05-04,3115796.390446513,1331755.6967743607,1133910.896563932,20.0,20.0
2025-05-05,2899165.9050514824,2037958.8525616997,1969745.9592530907,20.0,20.0
2025-05-06,2543548.4912018664,2518051.184225361,2310189.195807521,20.0,20.0
2025-05-07,2384515.4482508996,1227225.82799416,1022378.3575539757,20.0,20.0
2025-05-08,2375512.0686709452,1045431.282734914,840056.9030205274,20.0,20.0
2025-05-09,2284782.128712505,1437224.3991812111,1218675.7951320824,20.0,20.0
2025-05-10,2287401.585406261,1250976.3872533704,1033245.3793041441,20.0,20.0
2025-05-11,2197763.1487826263,1374901.9593124369,1164055.7142205841,20.0,20.0
2025-05-12,2451886.5778495674,1858200.627899673,1640552.1941710452,20.0,20.0
2025-05-13,2467784.7171242842,2070616.4012042088,1782608.1406845413,20.0,20.0
2025-05-14,2525428.474373774,1903265.6280166712,1683846.3241587388,20.0,20.0
2025-05-15,2585670.2160423617,1520332.1707540208,1301019.9677387783,20.0,20.0
2025-05-16,3864467.53599989,2606908.3065989553,2320145.9970979514,20.0,20.0
2025-05-17,4409119.592441168,3065384.4963300303,2854592.225878504,20.0,20.0
2025-05-18,3189486.4696549745,2355174.334910627,2149383.7503862926,20.0,20.0
2025-05-19,2972404.009246308,1763825.9369024984,1547526.501722137,20.0,20.0
2025-05-20,2943875.7386882915,1676404.430480904,1459405.020805195,20.0,20.0
2025-05-21,3802853.13244103,2448965.522467505,2313415.666999327,20.0,20.0
2025-05-22,3820994.777218433,3577091.4220906817,3366094.7171792253,20.0,20.0
2025-05-23,2723681.461166779,1205778.4324572687,996721.593111884,20.0,20.0
2025-05-24,2902277.6454077773,1297480.466540906,1096745.5906359982,20.0,20.0
2025-05-25,2607009.724064547,2033838.151727194,1835923.5895620948,20.0,20.0
2025-05-26,1992173.8361531908,1797135.6664850605,1552568.2902998507,20.0,20.0
2025-05-27,2076736.3224344691,1501952.0691122217,1291665.910815289,20.0,20.0
2025-05-28,2381465.0884693037,1598930.5996493367,1327673.6043201336,20.0,20.0
2025-05-29,3167215.980664774,1301777.0446684028,1100685.1690623255,20.0,20.0
2025-05-30,3045176.9106008583,1564110.547192112,1367844.5225836732,20.0,20.0
2025-05-31,1556378.0623363028,1298085.6668885278,1102465.154354548,20.0,20.0
2025-06-01,1331391.9472210906,600986.2407776836,407440.0594411826,20.0,20.0
2025-06-02,1692923.6371074982,998446.7224099076,796458.7336162644,20.0,20.0
2025-06-03,1607804.014413634,888066.489983794,680846.6832306657,20.0,20.0
2025-06-04,2326392.9856371186,1241823.5950981304,1036951.552030288,20.0,20.0
2025-06-05,3611293.5855526277,1902286.1445279093,1687537.7307822804,20.0,20.0
2025-06-06,3415542.1299997056,2592807.3363341046,2375175.2819388043,20.0,20.0
2025-06-07,2837666.568138812,1867669.5664798701,1591903.6203073198,20.0,20.0
2025-06-08,2679409.7133236355,1802996.7259818465,1589195.064846901,20.0,20.0
2025-06-09,2481516.9583731326,1859545.8563645184,1641239.083769379,20.0,20.0
2025-06-10,2608967.6065091034,1770898.7367625264,1553767.1267054507,20.0,20.0
2025-06-11,2760299.327251981,2235890.0303286063,2017655.5618056871,20.0,20.0
2025-06-12,3656633.028072731,2123524.639509747,1905610.1316405844,20.0,20.0
2025-06-13,4158251.6662578434,2328364.965132025,2109895.043337839,20.0,20.0
2025-06-14,3480235.6621902217,2959851.3407220626,2616822.4648082512,20.0,20.0
